"","Mean","SD","lower","upper","ess","Point est.","Upper C.I."
"Steps",2.5e+07,14433620.4102121,500,47500000,13.5000674848877,NA,NA
"Locus",1,0,1,1,0,NA,NA
"Replicate",2,0.816497034541852,1,3,0,Inf,NA
"lnPost",104079.793098701,9838.7878453306,86038.568411,117071.949889,419029.614333649,1.1482490013514,1.34420014214493
"lnDataL",-746.149809001834,5.55375207698419,-757.796762,-739.527258,238350.526955781,4.98204715376538,7.98673886769141
"lnPrbGParam",104825.942907777,9837.45056377986,86782.578242,117815.419277,418968.321130162,1.14818400401235,1.34402750281477
"lnPrior",-251.425885146567,4.74292924492875,-259.403063,-240.951867,394959.688056653,1.94632593696745,2.68528784062735
"treeintervals",8434.52874528745,776.01174318316,7003,9428,416755.392756311,1.14928667864598,1.34670861212843
"treelength",0.00565449922610337,0.00026429026901974,0.005213,0.006024,81040.5218777081,4300.75611602646,26986.3517465526
"Theta_1",0.00652463327964391,0.00810549194153855,2.052e-05,0.02276,498052.848162504,1.33579480481218,1.76905832952142
"Theta_2",0.0075424229380516,0.00810793323037188,0.00019594,0.02382,496364.733329101,1.18113775892926,1.3920809713473
"Theta_3",0.00291662773645514,0.00509636809078148,1.043e-05,0.0126,399343.436432522,1.43183974281968,2.15123634166361
"Theta_4",0.00660547772755505,0.00761419071024925,4.41e-05,0.02183,497774.466727654,1.24987805274213,1.55544159610946
"Theta_5",0.00436687871303158,0.00645901736892641,1.538e-05,0.01697,407420.178044208,1.32942450372779,1.79941288939107
"Theta_6",0.00709869354830215,0.00955098150832693,1.19e-05,0.0266,394421.240508004,1.40125838826948,1.92809424126433
"Theta_7",0.00138305070115146,0.0041118102081849,1e-05,0.0074,229827.977868043,1.5507503795336,4.04161797365295
"Theta_8",0.0031839405643612,0.00720970103800683,1.021e-05,0.01834,329500.292514325,1.71381005620695,3.67098692996988
"M_2_1",889434.833076109,70905.0131848122,762613,999999,368419.556695764,2.37567018854937,3.50830342888579
"M_3_2",844049.830269414,138220.603272778,466639,992256,408595.02334403,3.15409363300257,6.04625104144368
"M_4_3",867018.529761964,70213.3145464081,740454,985253,355649.621431019,1.48036454726451,2.22962450144028
"M_5_4",905139.542150977,46332.3831878504,822337,992965,353585.062306192,1.3498155622504,1.74084604804119
"M_6_5",895805.232845662,50472.2462513885,805540,992010,258620.559219709,1.52534137855016,1.98282235615789
"M_7_6",885142.60948165,61706.9914461918,761546,993893,282484.998571604,1.70532288740492,2.41216399258782
"M_8_7",872746.441837752,86586.7278275967,649679,995719,346306.573429133,2.23574112517906,3.26685590244329
"mL_1.000000",-744.060438446922,2.84770131475277,-749.916556,-740.338527,768.666228351679,11.2366088681447,29.581589901018
"mL_1.500000",-746.744116375084,3.75554307329418,-756.070426,-742.944513,50.4584697118851,8.96059356800897,26.1289137666758
"mL_3.000000",-769.259853951063,16.8465667573591,-802.493683,-752.81437,36.681868736223,6.44790573799277,18.1829348721092
"mL_100000.000000",-1807.00298964557,3.6369606862528,-1812.996114,-1800.025141,100.230351600417,7.54586793724274,12.9032686468178
"mL_thermo",-930.499013476495,5.90644131028633,-940.480168,-924.281498,29.2797592203836,8.81459721833042,19.0813889867226
"mL_harmonic",-750.927054293606,5.68839501826243,-762.967557,-745.923352,95.3632772261415,46.6036703559257,78.7295541502528
"Nm_2_1",5595.73781633526,6903.93227895304,25.65887976,19377.17325,498315.307515205,1.32308081542504,1.73580676498285
"Nm_3_2",6488.66963871046,6997.8203156271,81.33026611,20494.26574,500899.798523139,1.17166160072177,1.37496151524351
"Nm_4_3",2556.557372124,4526.9154972551,7.80526938,11104.59599,388643.443909532,1.44620612736665,2.22420630818284
"Nm_5_4",5941.53269131196,6803.16165034695,36.80384334,19528.76619,491069.49402785,1.2417545758278,1.53563873783016
"Nm_6_5",3901.58825830376,5758.71407149017,10.99889024,15096.90211,419547.116194357,1.33041363987029,1.80325231335525
"Nm_7_6",6232.3348411677,8421.18486347676,9.70490247,23379.11609,396545.770593763,1.40304453661136,1.93807868263618
"Nm_8_7",1201.46402884518,3687.49193330088,7.47367308,6544.44102,227573.198814377,1.54916074628266,4.06585512914764
